Claim Number,R.O Number,OP Code,Repaired VIN,Repaired VIN Model,Service Rental VIN,Service Rental VIN Model,Loan Days,R/O Date,Status
48610R,048610,SLOANAZZ,5NMP5DG16SH031827,SANTA FE HEV (MX5A) 1.6T,KMHL64JA1RA412862,SONATA (DN8) 2.5L SMARTSTREAM,8,10/07/2025,Approved
48527R,048527,SLOANAZZ,5NMJCCAE5NH052576,TUCSON (NX4A) 2.5L SMARTSTREAM,KM8HACAB9TU343559,KONA 2.0L (SX2),14,10/01/2025,Approved
48319R,048319,SLOANAZZ,KM8J3CA4XMU286769,TUCSON (TL) 2.0L,KM8HACAB9TU343559,KONA 2.0L (SX2),7,09/18/2025,Approved
47844R,047844,SLOANAZZ,5NMP5DGL9RH059990,SANTA FE (MX5A) 2.5T SMRTSTRM,5NTJADDE9SH150890,SANTA CRUZ(NXT)2.5LSMARTSTREAM,11,09/16/2025,Approved
47897R,047897,SLOANAZZ,5NPEC4AC0CH424119,SONATA (YFA) 2.4L THETA II,KMHL64JA1RA412862,SONATA (DN8) 2.5L SMARTSTREAM,17,09/04/2025,Approved
47750R,047750,SLOANAZZ,5NMS4DAL8MH314708,SANTA FE (TMA) 2.5T SMRTSTREAM,3KMJACDE1SE015414,TUCSON (NX4M) 2.5L SMARTSTREAM,9,09/03/2025,Approved
47490R,047490,SLOANAZZ,5XYZT3LB6HG429484,SANTA FE SPORT (AN) 2.4L THETA,KMHRB8A35SU353348,VENUE (QX) 1.6L,17,08/25/2025,Approved
47793R,047793,SLOANAZZ,KM8J2CA47JU641072,TUCSON (TL) 2.0L,KM8HACAB9TU343559,KONA 2.0L (SX2),18,08/25/2025,Approved
47551R,047551,SLOANAZZ,5NTJDDAF8RH091393,SANTA CRUZ(NXT)2.5TSMARTSTREAM,5NTJCDDE6RH119584,SANTA CRUZ(NXT)2.5LSMARTSTREAM,10,07/31/2025,Approved
47344R,047344,SLOANAZZ,KM8KNDAF1PU153506,IONIQ 5 (NE1),KM8K53AG2PU179163,KONA EV (OSEV),18,07/27/2025,Approved
47197D,047197,SLOANAZZ,KMHE24L1XGA025662,SONATA HYBRID (LF) 2.0L,KMHL64JA2RA411932,SONATA (DN8) 2.5L SMARTSTREAM,42,07/18/2025,Approved
47058R,047058,SLOANAZZ,KM8R3DGE7SU873937,PALISADE (LX2) 3.8L,KM8R3DGE7SU832630,PALISADE (LX2) 3.8L,32,06/28/2025,Approved
46931R,046931,SLOANAZZ,5XYZWDLAXJG571444,SANTA FE SPORT (AN) 2.0T THETA,KM8R3DGE7SU832630,PALISADE (LX2) 3.8L,6,06/25/2025,Approved
47053R,047053,SLOANAZZ,KM8JECAE6NU046008,TUCSON (NX4) 2.5L SMARTSTREAM,KM8K53AG4PU179214,KONA EV (OSEV),6,06/25/2025,Approved
46805R,046805,SLOANAZZ,KM8JUCAC6CU418297,TUCSON (LM) 2.4L THETA,3KMJACDE1SE015414,TUCSON (NX4M) 2.5L SMARTSTREAM,26,06/21/2025,Approved
46658R,046658,SLOANAZZ,KM8R5DGE2RU667803,PALISADE (LX2) 3.8L,KMHRC8A35RU330899,VENUE (QX) 1.6L,7,05/30/2025,Approved
46579R,046579,SLOANAZZ,KM8JEDD14SU337651,TUCSON HEV (NX4) 1.6T,5NMP1DGL1RH051233,SANTA FE (MX5A) 2.5T SMRTSTRM,7,05/24/2025,Approved
46437R,046437,SLOANAZZ,KMHH55LC3LU126174,ELANTRA GT N-LINE (PD) 1.6T,KM8K53AG4PU179214,KONA EV (OSEV),5,05/15/2025,Approved
